Source,SamplingMethod,SampleID,CollectionDate,Genus,Species,Location,Latitude,Longitude,StartLat,StartLong,MidLat,MidLong,EndLat,EndLong,ReleaseLat,ReleaseLong,Depth_m,ShotDuration_mins,Sex,Weight_g,SVL_cm,TailL_cm,PIT_tag,DArTseq,Notes
trawled_seasnakes.xlsx,Trawl,SS160226-07,2016/02/26,Aipysurus,foliosquama,Shark Bay,,,-25.583750,113.227300,-25.574417,113.226467,-25.565083,113.225633,,,16.60,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160427-04,2016/04/27,Aipysurus,foliosquama,Shark Bay,,,-25.231700,113.446217,-25.240350,113.444925,-25.249000,113.443633,,,15.70,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160428-01,2016/04/28,Aipysurus,foliosquama,Shark Bay,,,-25.275967,113.381783,-25.284983,113.384367,-25.294000,113.386950,,,15.60,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160430-06,2016/04/30,Aipysurus,foliosquama,Shark Bay,,,-25.049167,113.283850,-25.057425,113.284425,-25.065683,113.285000,,,16.00,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160430-07,2016/04/30,Aipysurus,foliosquama,Shark Bay,,,-25.049167,113.283850,-25.057425,113.284425,-25.065683,113.285000,,,16.00,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160430-08,2016/04/30,Aipysurus,foliosquama,Shark Bay,,,-24.880900,113.268517,-24.872033,113.268142,-24.863167,113.267767,,,18.60,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160501-03,2016/05/01,Aipysurus,foliosquama,Shark Bay,,,-24.810750,113.237517,-24.801150,113.238592,-24.791550,113.239667,,,20.30,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160505-03,2016/05/05,Aipysurus,foliosquama,Shark Bay,,,-25.573333,113.203150,-25.564583,113.203258,-25.555833,113.203367,,,16.80,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160505-04,2016/05/05,Aipysurus,foliosquama,Shark Bay,,,-25.573333,113.203150,-25.564583,113.203258,-25.555833,113.203367,,,16.80,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160505-05,2016/05/05,Aipysurus,foliosquama,Shark Bay,,,-25.573333,113.203150,-25.564583,113.203258,-25.555833,113.203367,,,16.80,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160630-02,2016/06/30,Aipysurus,foliosquama,Shark Bay,,,-25.098933,113.284767,-25.107308,113.285225,-25.115683,113.285683,,,16.70,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160826-03,2016/08/26,Aipysurus,foliosquama,Shark Bay,,,-25.638017,113.160467,-25.654892,113.169150,-25.671767,113.177833,,,19.30,30,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160826-06,2016/08/26,Aipysurus,foliosquama,Shark Bay,,,-25.638017,113.160467,-25.654892,113.169150,-25.671767,113.177833,,,19.30,30,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS161118-01,2016/11/18,Aipysurus,foliosquama,Shark Bay,,,-24.936600,113.298283,-24.929433,113.295083,-24.922267,113.291883,,,20.80,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS161119-02,2016/11/19,Aipysurus,foliosquama,Shark Bay,,,-24.974083,113.193983,-24.965333,113.195650,-24.956583,113.197317,,,14.90,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS161122-01,2016/11/22,Aipysurus,foliosquama,Shark Bay,,,-25.345950,113.612450,-25.336942,113.611967,-25.327933,113.611483,,,12.80,20,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS161126-01,2016/11/26,Aipysurus,foliosquama,Shark Bay,,,-25.426483,113.373333,-25.435242,113.375817,-25.444000,113.378300,,,15.30,20,,,,,,,
